,Titles,Variable,Value
137,よあそびぐらしっ！,1,・TOKYO MX: 7/7(日) 25:00
138,異世界ゆるり紀行 ～子育てしながら冒険者します～,1,・テレビ東京: 7/7(日) 25:50
139,闇芝居 十三期,1,・テレビ東京: 7/14(日) 26:50
140,[再] ゲゲゲの鬼太郎 (第6期),1,・TOKYO MX: 5/1(月) 18:30
141,[再] ゾイド -ZOIDS-,1,・TOKYO MX: 4/3(月) 19:00
142,[再] ぷにるんず,1,・TOKYO MX: 7/29(月) 19:00
143,真夜中ぱんチ,1,・TOKYO MX: 7/8(月) 22:30
144,[再] MFゴースト,1,・TOKYO MX: 7/1(月) 23:00
145,[再] カードファイト!! ヴァンガード Divinez,1,・BS日テレ: 7/8(月) 23:00
146,[再] 文豪ストレイドッグス 第2シーズン,1,・BS松竹東急: 7/1(月) 23:30
147,NINJA KAMUI,1,・TOKYO MX: 7/1(月) 24:00
148,SHY (第2期),1,・テレビ東京系6局ネット: 7/1(月) 24:00
149,[再] 五等分の花嫁,1,・BS11: 7/8(月) 24:00
150,[再] ゴールデンカムイ 第三期,1,・TOKYO MX: 7/1(月) 24:30
151,狼と香辛料 merchant meets the wise wolf,1,・テレビ東京: 4/1(月) 25:30
152,新米オッサン冒険者、最強パーティに死ぬほど鍛えられて無敵になる。,1,・テレビ東京: 7/1(月) 26:00
153,[再] ＧＯ！ＧＯ！アトム,1,・TOKYO MX: 4/9(火) 18:30
154,[再] 名探偵ホームズ,1,・TOKYO MX: 4/9(火) 19:00
155,[再] マジンガーＺ,1,・TOKYO MX: 10/4(火) 19:30
156,[再] 機動戦士ガンダムSEED HDリマスター,1,・TOKYO MX: 2/13(火) 22:29
157,僕の妻は感情がない,1,・TOKYO MX: 7/2(火) 23:00
158,かつて魔法少女と悪は敵対していた。,1,・BS11: 7/9(火) 23:00
159,[再] 徒然チルドレン,1,・BS11: 7/9(火) 23:15
160,[再] 有頂天家族2,1,・BS松竹東急: 7/2(火) 23:30
161,[再] 即死チートが最強すぎて、異世界のやつらがまるで相手にならないんですが。,1,・BSフジ: 7/2(火) 24:00
162,[再] モノノ怪,1,・テレビ東京系列: 7/9(火) 24:00
163,異世界失格,1,・TOKYO MX: 7/9(火) 24:30
164,[再] 呪術廻戦,1,・BS日テレ: 7/2(火) 24:35
165,[再] 超普通県チバ伝説 (第4期),1,・TOKYO MX: 7/2(火) 25:00
166,[再] その着せ替え人形は恋をする,1,・BS11: 7/9(火) 25:00
167,銀河英雄伝説 Die Neue These 激突 (第3期),1,・日本テレビ: 7/2(火) 25:35
168,多数欠,1,・日本テレビ: 7/2(火) 26:10
169,ライジングインパクト シーズン2,1,・
170,[再] おジャ魔女どれみ,1,・TOKYO MX: 2/28(水) 18:30
171,[再] キラッとプリ☆チャン,1,・TOKYO MX: 8/30(水) 19:00
172,[再] デリシャスパーティ♡プリキュア,1,・TOKYO MX: 9/20(水) 19:30
173,湖池屋SDGs劇場 サスとテナ シーズン5,1,・BS朝日: 7/3(水) 20:54
174,魔王軍最強の魔術師は人間だった,1,・TOKYO MX: 7/3(水) 22:00
175,[再] TSUKIPRO THE ANIMATION,1,・TOKYO MX: 7/3(水) 22:30
176,【推しの子】 (第2期),1,・TOKYO MX: 7/3(水) 23:00
177,時々ボソッとロシア語でデレる隣のアーリャさん,1,・TOKYO MX: 7/3(水) 23:30
178,[再] 明治撃剣－1874－,1,・BS松竹東急: 7/17(水) 23:30
179,戦国妖狐 千魔混沌編 (第2期),1,・TOKYO МX: 7/17(水) 24:00
180,[再] 精霊幻想記,1,・BSフジ: 7/3(水) 24:30
181,デリコズ・ナーサリー,1,・TOKYO MX: 8/7(水) 24:30
182,[再] 柚木さんちの四兄弟。,1,・BS11: 7/3(水) 25:00
183,恋は双子で割り切れない,1,・TOKYO MX: 7/10(水) 25:00
184,[再] カミエラビ,1,・フジテレビ: 7/3(水) 25:10
185,下の階には澪がいる,1,・フジテレビ: 7/3(水) 25:25
186,キミと僕の最後の戦場、あるいは世界が始まる聖戦 season II,1,・TOKYO MX: 7/10(水) 25:30
187,T・Pぼん シーズン2,1,・
188,[再] ドキドキ！プリキュア,1,・TOKYO MX: 9/21(木) 19:30
189,義妹生活,1,・TOKYO MX: 7/4(木) 22:30
190,[再] BanG Dream! It's MyGO!!!!!,1,・TOKYO MX: 7/4(木) 23:00
191,[再] HUNTER×HUNTER(2011年版),1,・BS日テレ: 4/4(木) 23:30
192,黄昏アウトフォーカス,1,・TOKYO MX: 7/4(木) 23:30
193,[再] ARIA The NATURAL (第2期),1,・BS松竹東急: 8/1(木) 23:30
194,ラーメン赤猫,1,・TBS系28局: 7/4(木) 23:56
195,俺は全てを【パリイ】する〜逆勘違いの世界最強は冒険者になりたい〜,1,・TOKYO MX: 7/4(木) 24:00
196,女神のカフェテラス (第2期),1,・MBS/TBS系28局: 7/4(木) 24:26
197,疑似ハーレム,1,・TOKYO MX: 7/4(木) 24:30
198,[再] アルドノア・ゼロ,1,・BS11: 7/11(木) 24:30
199,ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで,1,・TBS: 7/4(木) 24:59
200,先輩はおとこのこ,1,・フジテレビ: 7/4(木) 25:10
201,[再] 七つの大罪 黙示録の四騎士,1,第2期放送に向けて第1期第2クール(13話)から放送
202,[再] 最強タンクの迷宮攻略〜体力9999のレアスキル持ちタンク、勇者パーティーを追放される〜,1,・BS12: 7/11(木) 26:00
203,君に届け 3RD SEASON,1,Netflixでの世界独占配信
204,Terminator Zero,1,・
205,BEYBLADE X,1,・テレビ東京: 10/6(金) 18:25
206,[再] 僕のヒーローアカデミア (第1期),1,・TOKYO MX: 7/5(金) 18:30
207,[再] 機動戦士ガンダム 水星の魔女,1,・BS11: 7/26(金) 19:30
208,[再] 百姓貴族,1,・TOKYO MX: 7/12(金) 21:54
209,[再] イナズマイレブン フットボールフロンティア編,1,・TOKYO MX: 7/5(金) 22:00
210,2.5次元の誘惑(リリサ),1,2クール連続放送
211,転生したらスライムだった件 第3期,1,・日本テレビ系列全国30局ネット「FRIDAY ANIME NIGHT（フラアニ）」枠: 4/5(金) 23:00
212,NieR:Automata Ver1.1a 第2クール,1,・TOKYO MX: 7/5(金) 23:30
